node1,relation,node2
Cpn-003,包含,Terminal_cpn-017
Cpn-003,包含,Terminal_cpn-018
Cpn-003,包含,Terminal_cpn-019
Cpn-003,包含,Terminal_cpn-020
Cpn-003,包含,Terminal_cpn-021
Cpn-003,包含,Terminal_cpn-022
Cpn-003,包含,Terminal_cpn-023
Cpn-003,包含,Terminal_cpn-024
Cpn-004,包含,Terminal_cpn-025
Cpn-004,包含,Terminal_cpn-026
Cpn-004,包含,Terminal_cpn-027
Cpn-004,包含,Terminal_cpn-028
Cpn-004,包含,Terminal_cpn-029
Cpn-004,包含,Terminal_cpn-030
Cpn-004,包含,Terminal_cpn-031
Cpn-004,包含,Terminal_cpn-032
Cpn-005,包含,Terminal_cpn-033
Cpn-005,包含,Terminal_cpn-034
Cpn-005,包含,Terminal_cpn-035
Cpn-005,包含,Terminal_cpn-036
Cpn-005,包含,Terminal_cpn-037
Cpn-005,包含,Terminal_cpn-038
Cpn-005,包含,Terminal_cpn-039
Cpn-005,包含,Terminal_cpn-040
Cpn-006,包含,Terminal_cpn-041
Cpn-006,包含,Terminal_cpn-042
Cpn-006,包含,Terminal_cpn-043
Cpn-006,包含,Terminal_cpn-044
Cpn-006,包含,Terminal_cpn-045
Cpn-006,包含,Terminal_cpn-046
Cpn-006,包含,Terminal_cpn-047
Cpn-006,包含,Terminal_cpn-048
Cpn-007,包含,Terminal_cpn-049
Cpn-007,包含,Terminal_cpn-050
Cpn-007,包含,Terminal_cpn-051
Cpn-007,包含,Terminal_cpn-052
Cpn-007,包含,Terminal_cpn-053
Cpn-007,包含,Terminal_cpn-054
Cpn-007,包含,Terminal_cpn-055
Cpn-007,包含,Terminal_cpn-056
Cpn-008,包含,Terminal_cpn-057
Cpn-008,包含,Terminal_cpn-058
Cpn-008,包含,Terminal_cpn-059
Cpn-008,包含,Terminal_cpn-060
Cpn-008,包含,Terminal_cpn-061
Cpn-008,包含,Terminal_cpn-062
Cpn-008,包含,Terminal_cpn-063
Cpn-008,包含,Terminal_cpn-064
Cpn-009,包含,Terminal_cpn-065
Cpn-009,包含,Terminal_cpn-066
Cpn-009,包含,Terminal_cpn-067
Cpn-009,包含,Terminal_cpn-068
Cpn-009,包含,Terminal_cpn-069
Cpn-009,包含,Terminal_cpn-070
Cpn-009,包含,Terminal_cpn-071
Cpn-009,包含,Terminal_cpn-072
Cpn-010,包含,Terminal_cpn-073
Cpn-010,包含,Terminal_cpn-074
Cpn-010,包含,Terminal_cpn-075
Cpn-010,包含,Terminal_cpn-076
Cpn-010,包含,Terminal_cpn-077
Cpn-010,包含,Terminal_cpn-078
Cpn-010,包含,Terminal_cpn-079
Cpn-010,包含,Terminal_cpn-080
Cpn-011,包含,Terminal_cpn-081
Cpn-011,包含,Terminal_cpn-082
Cpn-011,包含,Terminal_cpn-083
Cpn-011,包含,Terminal_cpn-084
Cpn-011,包含,Terminal_cpn-085
Cpn-011,包含,Terminal_cpn-086
Cpn-011,包含,Terminal_cpn-087
Cpn-011,包含,Terminal_cpn-088
Cpn-012,包含,Terminal_cpn-089
Cpn-012,包含,Terminal_cpn-090
Cpn-012,包含,Terminal_cpn-091
Cpn-012,包含,Terminal_cpn-092
Cpn-012,包含,Terminal_cpn-093
Cpn-012,包含,Terminal_cpn-094
Cpn-012,包含,Terminal_cpn-095
Cpn-012,包含,Terminal_cpn-096
Cpn-001,包含,Cpe-001
Cpn-001,包含,Cpe-002
Cpn-001,包含,Cpe-003
Cpn-001,包含,Cpe-004
Cpn-001,包含,Cpe-005
Cpn-002,包含,Cpe-006
Cpn-002,包含,Cpe-007
Cpn-002,包含,Cpe-008
Cpn-002,包含,Cpe-009
Cpn-002,包含,Cpe-010
Cpn-003,包含,Cpe-011
Cpn-003,包含,Cpe-012
Cpn-003,包含,Cpe-013
Cpn-003,包含,Cpe-014
Cpn-003,包含,Cpe-015
Cpn-004,包含,Cpe-016
Cpn-004,包含,Cpe-017
Cpn-004,包含,Cpe-018
Cpn-004,包含,Cpe-019
Cpn-004,包含,Cpe-020
Cpn-005,包含,Cpe-021
Cpn-005,包含,Cpe-022
Cpn-005,包含,Cpe-023
Cpn-005,包含,Cpe-024
Cpn-005,包含,Cpe-025
Cpn-006,包含,Cpe-026
Cpn-006,包含,Cpe-027
Cpn-006,包含,Cpe-028
Cpn-006,包含,Cpe-029
Cpn-006,包含,Cpe-030
Cpn-007,包含,Cpe-031
Cpn-007,包含,Cpe-032
Cpn-007,包含,Cpe-033
Cpn-007,包含,Cpe-034
Cpn-007,包含,Cpe-035
Cpn-008,包含,Cpe-036
Cpn-008,包含,Cpe-037
Cpn-008,包含,Cpe-038
Cpn-008,包含,Cpe-039
Cpn-008,包含,Cpe-040
Cpn-009,包含,Cpe-041
Cpn-009,包含,Cpe-042
Cpn-009,包含,Cpe-043
Cpn-009,包含,Cpe-044
Cpn-009,包含,Cpe-045
Cpn-010,包含,Cpe-046
Cpn-010,包含,Cpe-047
Cpn-010,包含,Cpe-048
Cpn-010,包含,Cpe-049
Cpn-010,包含,Cpe-050
Cpn-011,包含,Cpe-051
Cpn-011,包含,Cpe-052
Cpn-011,包含,Cpe-053
Cpn-011,包含,Cpe-054
Cpn-011,包含,Cpe-055
Cpn-012,包含,Cpe-056
Cpn-012,包含,Cpe-057
Cpn-012,包含,Cpe-058
Cpn-012,包含,Cpe-059
Cpn-012,包含,Cpe-060
Terminal_cpn-001,D2D协作,Terminal_cpn-049
Terminal_cpn-002,D2D协作,Terminal_cpn-050
Terminal_cpn-003,D2D协作,Terminal_cpn-051
Terminal_cpn-004,D2D协作,Terminal_cpn-052
Terminal_cpn-005,D2D协作,Terminal_cpn-053
Terminal_cpn-006,D2D协作,Terminal_cpn-054
Terminal_cpn-007,D2D协作,Terminal_cpn-055
Terminal_cpn-008,D2D协作,Terminal_cpn-056
Terminal_cpn-009,D2D协作,Terminal_cpn-057
Terminal_cpn-010,D2D协作,Terminal_cpn-058
Terminal_cpn-011,D2D协作,Terminal_cpn-059
Terminal_cpn-012,D2D协作,Terminal_cpn-060
Terminal_cpn-013,D2D协作,Terminal_cpn-061
Terminal_cpn-014,D2D协作,Terminal_cpn-062
Terminal_cpn-015,D2D协作,Terminal_cpn-063
Terminal_cpn-016,D2D协作,Terminal_cpn-064
Terminal_cpn-017,D2D协作,Terminal_cpn-065
Terminal_cpn-018,D2D协作,Terminal_cpn-066
Terminal_cpn-019,D2D协作,Terminal_cpn-067
Terminal_cpn-020,D2D协作,Terminal_cpn-068
Terminal_cpn-021,D2D协作,Terminal_cpn-069
Terminal_cpn-022,D2D协作,Terminal_cpn-070
Terminal_cpn-023,D2D协作,Terminal_cpn-071
Terminal_cpn-024,D2D协作,Terminal_cpn-072
Terminal_cpn-025,D2D协作,Terminal_cpn-073
Terminal_cpn-026,D2D协作,Terminal_cpn-074
Terminal_cpn-027,D2D协作,Terminal_cpn-075
Terminal_cpn-028,D2D协作,Terminal_cpn-076
Terminal_cpn-029,D2D协作,Terminal_cpn-077
Terminal_cpn-030,D2D协作,Terminal_cpn-078
Terminal_cpn-031,D2D协作,Terminal_cpn-079
Terminal_cpn-032,D2D协作,Terminal_cpn-080
Terminal_cpn-033,D2D协作,Terminal_cpn-081
Terminal_cpn-034,D2D协作,Terminal_cpn-082
Terminal_cpn-035,D2D协作,Terminal_cpn-083
Terminal_cpn-036,D2D协作,Terminal_cpn-084
Terminal_cpn-037,D2D协作,Terminal_cpn-085
Terminal_cpn-038,D2D协作,Terminal_cpn-086
Terminal_cpn-039,D2D协作,Terminal_cpn-087
Terminal_cpn-040,D2D协作,Terminal_cpn-088
Terminal_cpn-041,D2D协作,Terminal_cpn-089
Terminal_cpn-042,D2D协作,Terminal_cpn-090
Terminal_cpn-043,D2D协作,Terminal_cpn-091
Terminal_cpn-044,D2D协作,Terminal_cpn-092
Terminal_cpn-045,D2D协作,Terminal_cpn-093
Terminal_cpn-046,D2D协作,Terminal_cpn-094
Terminal_cpn-047,D2D协作,Terminal_cpn-095
Terminal_cpn-048,D2D协作,Terminal_cpn-096
Cpe-001,包含,Terminal_cpe-001
Cpe-001,包含,Terminal_cpe-002
Cpe-001,包含,Terminal_cpe-003
Cpe-002,包含,Terminal_cpe-004
Cpe-002,包含,Terminal_cpe-005
Cpe-002,包含,Terminal_cpe-006
Cpe-003,包含,Terminal_cpe-007
Cpe-003,包含,Terminal_cpe-008
Cpe-003,包含,Terminal_cpe-009
Cpe-004,包含,Terminal_cpe-010
Cpe-004,包含,Terminal_cpe-011
Cpe-004,包含,Terminal_cpe-012
Cpe-005,包含,Terminal_cpe-013
Cpe-005,包含,Terminal_cpe-014
Cpe-005,包含,Terminal_cpe-015
Cpe-006,包含,Terminal_cpe-016
Cpe-006,包含,Terminal_cpe-017
Cpe-006,包含,Terminal_cpe-018
Cpe-007,包含,Terminal_cpe-019
Cpe-007,包含,Terminal_cpe-020
Cpe-007,包含,Terminal_cpe-021
Cpe-008,包含,Terminal_cpe-022
Cpe-008,包含,Terminal_cpe-023
Cpe-008,包含,Terminal_cpe-024
Cpe-009,包含,Terminal_cpe-025
Cpe-009,包含,Terminal_cpe-026
Cpe-009,包含,Terminal_cpe-027
Cpe-010,包含,Terminal_cpe-028
Cpe-010,包含,Terminal_cpe-029
Cpe-010,包含,Terminal_cpe-030
Cpe-011,包含,Terminal_cpe-031
Cpe-011,包含,Terminal_cpe-032
Cpe-011,包含,Terminal_cpe-033
Cpe-012,包含,Terminal_cpe-034
Cpe-012,包含,Terminal_cpe-035
Cpe-012,包含,Terminal_cpe-036
Cpe-013,包含,Terminal_cpe-037
Cpe-013,包含,Terminal_cpe-038
Cpe-013,包含,Terminal_cpe-039
Cpe-014,包含,Terminal_cpe-040
Cpe-014,包含,Terminal_cpe-041
Cpe-014,包含,Terminal_cpe-042
Cpe-015,包含,Terminal_cpe-043
Cpe-015,包含,Terminal_cpe-044
Cpe-015,包含,Terminal_cpe-045
Cpe-016,包含,Terminal_cpe-046
Cpe-016,包含,Terminal_cpe-047
Cpe-016,包含,Terminal_cpe-048
Cpe-017,包含,Terminal_cpe-049
Cpe-017,包含,Terminal_cpe-050
Cpe-017,包含,Terminal_cpe-051
Cpe-018,包含,Terminal_cpe-052
Cpe-018,包含,Terminal_cpe-053
Cpe-018,包含,Terminal_cpe-054
Cpe-019,包含,Terminal_cpe-055
Cpe-019,包含,Terminal_cpe-056
Cpe-019,包含,Terminal_cpe-057
Cpe-020,包含,Terminal_cpe-058
Cpe-020,包含,Terminal_cpe-059
Cpe-020,包含,Terminal_cpe-060
Cpe-021,包含,Terminal_cpe-061
Cpe-021,包含,Terminal_cpe-062
Cpe-021,包含,Terminal_cpe-063
Cpe-022,包含,Terminal_cpe-064
Cpe-022,包含,Terminal_cpe-065
Cpe-022,包含,Terminal_cpe-066
Cpe-023,包含,Terminal_cpe-067
Cpe-023,包含,Terminal_cpe-068
Cpe-023,包含,Terminal_cpe-069
Cpe-024,包含,Terminal_cpe-070
Cpe-024,包含,Terminal_cpe-071
Cpe-024,包含,Terminal_cpe-072
Cpe-025,包含,Terminal_cpe-073
Cpe-025,包含,Terminal_cpe-074
Cpe-025,包含,Terminal_cpe-075
Cpe-026,包含,Terminal_cpe-076
Cpe-026,包含,Terminal_cpe-077
Cpe-026,包含,Terminal_cpe-078
Cpe-027,包含,Terminal_cpe-079
Cpe-027,包含,Terminal_cpe-080
Cpe-027,包含,Terminal_cpe-081
Cpe-028,包含,Terminal_cpe-082
Cpe-028,包含,Terminal_cpe-083
Cpe-028,包含,Terminal_cpe-084
Cpe-029,包含,Terminal_cpe-085
Cpe-029,包含,Terminal_cpe-086
Cpe-029,包含,Terminal_cpe-087
Cpe-030,包含,Terminal_cpe-088
Cpe-030,包含,Terminal_cpe-089
Cpe-030,包含,Terminal_cpe-090
Cpe-031,包含,Terminal_cpe-091
Cpe-031,包含,Terminal_cpe-092
Cpe-031,包含,Terminal_cpe-093
Cpe-032,包含,Terminal_cpe-094
Cpe-032,包含,Terminal_cpe-095
Cpe-032,包含,Terminal_cpe-096
Cpe-033,包含,Terminal_cpe-097
Cpe-033,包含,Terminal_cpe-098
Cpe-033,包含,Terminal_cpe-099
Cpe-034,包含,Terminal_cpe-100
Cpe-034,包含,Terminal_cpe-101
Cpe-034,包含,Terminal_cpe-102
Cpe-035,包含,Terminal_cpe-103
Cpe-035,包含,Terminal_cpe-104
Cpe-035,包含,Terminal_cpe-105
Cpe-036,包含,Terminal_cpe-106
Cpe-036,包含,Terminal_cpe-107
Cpe-036,包含,Terminal_cpe-108
Cpe-037,包含,Terminal_cpe-109
Cpe-037,包含,Terminal_cpe-110
Cpe-037,包含,Terminal_cpe-111
Cpe-038,包含,Terminal_cpe-112
Cpe-038,包含,Terminal_cpe-113
Cpe-038,包含,Terminal_cpe-114
Cpe-039,包含,Terminal_cpe-115
Cpe-039,包含,Terminal_cpe-116
Cpe-039,包含,Terminal_cpe-117
Cpe-040,包含,Terminal_cpe-118
Cpe-040,包含,Terminal_cpe-119
Cpe-040,包含,Terminal_cpe-120
Cpe-041,包含,Terminal_cpe-121
Cpe-041,包含,Terminal_cpe-122
Cpe-041,包含,Terminal_cpe-123
Cpe-042,包含,Terminal_cpe-124
Cpe-042,包含,Terminal_cpe-125
Cpe-042,包含,Terminal_cpe-126
Cpe-043,包含,Terminal_cpe-127
Cpe-043,包含,Terminal_cpe-128
Cpe-043,包含,Terminal_cpe-129
Cpe-044,包含,Terminal_cpe-130
Cpe-044,包含,Terminal_cpe-131
Cpe-044,包含,Terminal_cpe-132
Cpe-045,包含,Terminal_cpe-133
Cpe-045,包含,Terminal_cpe-134
Cpe-045,包含,Terminal_cpe-135
Cpe-046,包含,Terminal_cpe-136
Cpe-046,包含,Terminal_cpe-137
Cpe-046,包含,Terminal_cpe-138
Cpe-047,包含,Terminal_cpe-139
Cpe-047,包含,Terminal_cpe-140
Cpe-047,包含,Terminal_cpe-141
Cpe-048,包含,Terminal_cpe-142
Cpe-048,包含,Terminal_cpe-143
Cpe-048,包含,Terminal_cpe-144
Cpe-049,包含,Terminal_cpe-145
Cpe-049,包含,Terminal_cpe-146
Cpe-049,包含,Terminal_cpe-147
Cpe-050,包含,Terminal_cpe-148
Cpe-050,包含,Terminal_cpe-149
Cpe-050,包含,Terminal_cpe-150
Cpe-051,包含,Terminal_cpe-151
Cpe-051,包含,Terminal_cpe-152
Cpe-051,包含,Terminal_cpe-153
Cpe-052,包含,Terminal_cpe-154
Cpe-052,包含,Terminal_cpe-155
Cpe-052,包含,Terminal_cpe-156
Cpe-053,包含,Terminal_cpe-157
Cpe-053,包含,Terminal_cpe-158
Cpe-053,包含,Terminal_cpe-159
Cpe-054,包含,Terminal_cpe-160
Cpe-054,包含,Terminal_cpe-161
Cpe-054,包含,Terminal_cpe-162
Cpe-055,包含,Terminal_cpe-163
Cpe-055,包含,Terminal_cpe-164
Cpe-055,包含,Terminal_cpe-165
Cpe-056,包含,Terminal_cpe-166
Cpe-056,包含,Terminal_cpe-167
Cpe-056,包含,Terminal_cpe-168
Cpe-057,包含,Terminal_cpe-169
Cpe-057,包含,Terminal_cpe-170
Cpe-057,包含,Terminal_cpe-171
Cpe-058,包含,Terminal_cpe-172
Cpe-058,包含,Terminal_cpe-173
Cpe-058,包含,Terminal_cpe-174
Cpe-059,包含,Terminal_cpe-175
Cpe-059,包含,Terminal_cpe-176
Cpe-059,包含,Terminal_cpe-177
Cpe-060,包含,Terminal_cpe-178
Cpe-060,包含,Terminal_cpe-179
Cpe-060,包含,Terminal_cpe-180
