ULMeanNL,ConnMean,AttOutExecInterXn,SuccOutInterXn,ArfcnUL,ArfcnDL,NbrPktDL,NbrPktLossDL,UpOctUL,UpOctDL,BsChannelBwUL,BsChannelBwDL,MaxTxPower,RetTilt,TransRatePeak,RSRP,RSRQ,Label
-119,12,163,161,169760,520160,221922,18327,33766.11626455944,251623.94625865365,20,50,230,2036,498,-95,-11,0
-115,6,87,83,158520,723684,41518,2146,5464.22444395218,39803.18827484168,20,15,176,959,457,-109,-14,1
-110,10,148,146,462740,533120,354720,23404,36019.97152873907,273817.85214323876,30,60,228,2042,495,-96,-12,0
-106,7,108,102,638792,520160,170224,9845,22037.342873571557,166894.9928606443,70,50,158,1965,438,-112,-14,1
-112,11,160,159,164380,163140,45776,3895,7958.2377927750495,50422.67376713761,90,10,247,2450,499,-95,-11,0
-111,9,129,128,536832,299160,226683,15963,29904.23964070441,253692.4598660394,40,60,271,579,522,-94,-10,0
-114,8,105,103,295780,386420,213836,19330,24538.435987492496,189987.28912813298,60,60,139,2193,433,-112,-14,1
-112,10,160,154,386080,651793,453407,33213,54932.62658106771,431403.7427109523,10,90,252,1516,491,-96,-12,0
-108,9,145,138,496980,637354,323962,19249,46565.873890447816,359176.3144564266,90,80,238,2440,495,-96,-11,0
-110,10,156,150,286020,534380,35691,2782,4512.37425238412,42791.32110309032,30,10,267,1833,533,-91,-10,0
-106,8,121,117,638792,173280,345517,33853,42849.09563877378,318740.4552569539,25,90,256,937,484,-96,-12,0
-115,8,131,124,404920,149000,51166,3307,6379.614580793588,55519.313468706016,40,15,162,2488,467,-109,-12,1
-119,11,166,154,354880,505263,375701,27300,49810.73383185418,445634.435509117,60,90,223,3054,494,-97,-12,0
-117,11,161,153,133260,677508,193015,17974,23152.486504204422,181895.50108023727,60,40,247,2124,513,-94,-10,0
-116,12,163,148,140320,386420,424428,38879,56090.087054233685,397524.17493503646,80,80,235,2529,508,-94,-11,0
-112,12,159,159,178040,522318,413455,26653,41429.164601830176,378486.67548042285,10,80,166,2816,441,-111,-14,1

-106,10,142,140,519810,497820,363627,20092,32063.23876566064,322752.5030740171,10,70,229,2144,517,-94,-11,0
-114,8,119,113,653444,471380,117563,8836,17177.282378163876,109372.89501039697,80,30,236,1242,498,-97,-11,0
-113,12,185,171,169580,173280,142549,9768,21695.075106790777,144052.93806421632,30,25,250,562,503,-94,-11,0
-106,11,149,136,144360,153260,468352,34528,57110.75649161988,505524.1612819674,5,100,251,2592,500,-96,-11,0
-106,12,201,187,466800,129160,129446,10606,16030.947257656651,122887.77807541992,100,20,243,1680,514,-95,-11,0
-93,11,158,147,404920,129160,302467,20791,48576.139859090246,387647.9703267977,15,70,326,362,531,-83,-10,3
-117,10,147,141,182280,426320,83769,6860,10986.751174519428,91845.75206277768,20,20,235,3468,503,-94,-11,0
-111,11,176,173,373420,651793,27585,2696,3058.7471070312617,28616.030495010884,25,5,234,1252,481,-97,-12,0
-100,12,196,187,340720,672541,515144,29363,54142.72850592783,438313.7409646822,90,80,323,480,508,-84,-10,3
-98,11,171,154,496980,651793,116222,10973,18034.52916468243,106249.15215147333,20,20,346,630,532,-82,-9,3
-99,12,187,181,496980,672541,179122,11181,20924.903507076007,174808.5873276767,15,30,347,135,540,-82,-10,3
-107,9,140,137,466800,637354,201500,12700,28013.696332506897,214655.36540275023,70,50,236,1262,480,-98,-12,0
-117,11,153,143,672066,426320,536089,27143,60608.3605093381,460495.09049236897,20,100,253,377,508,-95,-11,0
-115,11,186,172,133260,651793,160064,14159,15971.474866557774,142488.10237024486,80,30,230,2812,486,-96,-12,0
-113,10,133,129,169580,497820,435460,32195,49360.73292200417,455376.77801676275,60,100,222,3138,491,-95,-12,0
-118,8,121,117,466800,645024,38956,3478,5206.289056460293,38227.904751009155,80,10,262,2955,492,-95,-12,0
-119,10,142,133,164380,285520,85140,5396,11359.445057491474,90119.77859757871,40,20,229,1788,498,-96,-12,0
-113,9,149,145,144360,129160,230222,12455,26137.03031827272,212665.16513780336,100,50,243,3125,504,-94,-11,0

-106,13,202,197,169580,174960,366207,29649,41087.44933128077,326912.4428316738,60,50,230,2735,486,-96,-12,0
-99,11,164,161,133260,190460,159555,14184,20974.277872368908,151027.2470855965,70,30,336,242,510,-83,-10,3
-111,8,114,107,169580,382580,312510,19728,43775.602680991746,310445.06095418596,80,90,210,1960,489,-96,-12,0
-107,10,144,132,501060,434440,268761,21100,34520.265460427145,285336.4559468573,20,60,245,2551,479,-96,-12,0
-95,11,157,150,522360,426320,27814,1831,3934.772165208682,24715.51236185433,15,5,328,799,530,-82,-9,3
-95,12,178,170,289160,402480,414041,32354,50887.3500604145,489058.66363016295,15,100,321,1008,514,-83,-10,3
-117,11,182,177,496980,285520,91890,6918,14730.692852671616,94271.1919318516,40,20,244,2376,500,-94,-11,0
-111,11,174,170,377520,522318,152582,14435,15758.081388508299,145582.3650991571,40,30,234,2264,488,-97,-12,0
-98,17,269,267,713798,522318,137674,8381,22326.689407372636,149416.95947172705,25,20,329,143,531,-82,-10,3
-122,12,192,192,289160,149000,145094,13712,19070.111492975426,146678.73739712843,50,30,242,1019,508,-94,-11,0
-119,10,165,159,622138,434440,68562,4466,7844.04819269481,69696.9134267536,40,15,222,1880,467,-97,-13,0
-119,11,186,181,622138,174960,102031,8945,13820.384046005147,108331.67753480803,20,20,219,1949,486,-96,-12,0
-108,10,161,151,178040,651793,131801,8218,15799.311501603077,137631.2789931362,100,30,228,1470,504,-94,-11,0
-107,11,143,138,522360,709334,141808,13008,17889.35710419601,160687.35899985433,20,30,248,2149,496,-96,-11,0
-106,13,190,182,462740,672541,87473,7720,10783.071269753154,89298.42173870662,80,15,323,438,530,-85,-10,3
-131,8,123,119,354880,173040,287741,21437,29657.73203157453,267098.1984795402,90,70,247,1231,512,-94,-11,0
-118,8,126,123,638792,651793,268776,25266,35538.530783292794,300627.8297778426,40,80,246,1033,491,-97,-11,0
-95,13,184,182,387540,651793,30909,2928,4411.479408586791,30100.834729016016,25,5,330,386,532,-81,-10,3

-105,10,148,146,370460,173280,280709,22590,40082.65413875204,280371.49695425335,40,60,252,2663,507,-93,-11,0
-94,11,176,167,462740,174960,44573,3831,8202.795355285434,47399.02230981295,20,10,339,746,528,-84,-10,3
-92,12,176,160,638792,173040,379633,31286,40185.81129700028,399034.42492188676,80,80,359,350,532,-83,-10,3
-117,8,117,113,144360,174960,61414,5898,9468.355304096383,70637.0383173041,20,20,236,2697,500,-95,-11,0
-117,9,123,119,672066,637354,131531,7083,14863.831876824099,122881.84802548704,20,30,255,1716,506,-93,-11,0
-98,14,208,205,638792,626514,253253,19658,30471.041983008203,267055.5277995353,30,40,331,1304,527,-83,-10,3
-122,12,166,160,370460,400180,84451,5165,12498.72173797148,86716.33647205695,60,15,241,715,495,-96,-11,0
-113,10,152,146,462740,723684,230734,14856,26444.57356038614,187184.10436284423,20,40,250,2139,503,-94,-11,0
-95,12,171,168,354880,723684,376794,30381,36019.92415352542,345776.070394371,90,60,306,1589,516,-85,-11,3
-110,10,136,129,354880,672541,173502,12790,17010.2276205984,143861.750377402,20,30,217,1671,486,-96,-12,0
-113,10,136,125,144360,534380,120571,8399,18783.24284676685,134309.54924992676,20,30,208,1915,489,-96,-12,0
-114,9,130,124,182280,368460,179091,12627,26849.22870618637,173961.98470795536,50,40,232,1931,495,-94,-12,0
-105,8,128,122,354880,505263,103949,5245,16152.500005820335,108448.33377543637,50,30,232,1453,509,-94,-11,0
-93,14,187,169,522360,497820,354107,23044,45667.099937006475,405423.9545540734,10,60,305,270,510,-85,-11,3
-95,15,216,215,289160,505263,623452,50347,68707.18719566909,603509.8302462107,70,100,311,1258,531,-84,-10,3
-120,11,163,152,164380,626514,85882,8555,9770.023790272302,79639.95447784434,15,15,243,2847,511,-95,-11,0
-117,12,177,171,164380,173280,473531,30792,71125.07790544129,520748.410608893,25,90,231,1804,503,-95,-11,0
-96,14,211,197,516580,173280,109065,5631,16228.246984782782,127321.26028905677,30,20,356,707,540,-83,-10,3

-119,13,212,208,140320,434440,172097,12721,16935.85671342668,141954.60858825277,100,25,313,138,513,-82,-10,2
-127,12,174,169,340720,163140,117327,6357,14940.77360644585,126450.21755150547,100,25,314,171,519,-82,-10,2
-128,11,159,153,501060,723684,212688,11251,27803.891140124444,205092.36705728064,30,40,317,566,529,-81,-10,2
-122,15,218,216,354880,402480,406449,27187,54196.83977519451,430456.0862689702,10,70,313,1159,517,-84,-11,2
-128,13,213,193,622138,723684,494608,46396,52231.126176773105,476049.1623666059,15,90,304,223,516,-83,-10,2
-134,13,193,182,707032,163140,32670,3102,3892.932897264774,26717.21181395761,40,5,312,1282,506,-84,-10,2
-112,9,129,118,519810,520160,85763,6723,13246.499377940298,83289.9120301394,25,20,315,211,527,-82,-10,2
-110,10,140,131,340720,651793,50322,4874,4829.782295077397,45632.865754744664,40,10,277,894,509,-95,-11,0
-121,16,238,230,536832,709334,646211,61578,93061.53181779888,752866.1601564218,50,100,342,985,530,-82,-10,2
-133,13,206,198,169760,174960,61145,5084,6334.088324864348,52479.8245906898,40,10,341,182,513,-83,-10,2
-128,10,157,152,182280,723684,455706,37446,51288.37541473017,389505.48098673194,60,90,336,1320,527,-84,-10,2
-123,13,205,196,522360,382580,102117,6865,12804.779316285714,98824.72728060394,50,15,230,3040,494,-95,-12,0
-110,12,186,182,370460,426320,541445,35690,55193.11171426499,468507.5208237915,15,80,327,904,531,-84,-10,2
-109,15,206,195,165960,520160,398668,21754,44054.92413448576,438506.6633619319,5,60,340,81,521,-85,-11,2
-112,9,146,133,672066,471380,335366,18680,37100.674288012924,314644.9101752058,70,80,318,543,523,-84,-11,2
-111,10,144,138,496980,677508,191729,13645,28678.97522451323,170357.96323794988,15,40,323,1570,512,-84,-11,2
-106,14,217,216,638792,672541,136562,8682,17682.956463218827,138990.33403599117,90,20,322,1036,538,-84,-10,2
-107,17,226,219,501060,626514,280450,17012,29504.480608653666,279796.3006922808,70,40,314,262,524,-82,-10,2

-107,11,173,173,289160,149000,386063,31880,39596.86038258996,339635.4235522183,25,70,219,583,491,-96,-12,0
-112,12,193,184,347440,190460,388618,34037,47908.21084941837,365393.66457423614,15,70,151,2829,440,-112,-14,1
-119,10,126,119,158520,400180,187069,11740,24139.660485514214,185544.49177582114,100,40,136,1975,453,-110,-14,1
-120,8,107,97,169760,723684,18497,1307,3101.6470048193432,19484.659813612598,10,5,172,1917,455,-111,-13,1
-113,12,193,193,387540,471380,151901,14548,25719.09972977366,144672.16517148667,30,25,159,1780,458,-110,-13,1
-107,7,98,91,164380,505263,228358,18928,30672.24926044985,230481.2247348749,5,80,136,3495,424,-113,-15,1
-111,8,123,114,522360,190460,75492,4185,8609.167914760923,69315.0085441811,60,20,154,1431,444,-112,-14,1
-108,6,91,85,178040,299160,52812,2648,6404.074700492672,55229.801714573434,40,20,123,1651,393,-116,-16,1
-116,7,89,82,501060,285520,85876,7567,8284.446417068413,76114.308404735,50,25,163,2157,419,-114,-15,1
-123,9,113,112,643585,677508,363137,33601,47491.93551660067,393065.2664004255,80,100,163,573,491,-107,-12,1
-116,11,177,160,164380,394460,21058,1079,2397.5599303907247,23430.461393771468,80,5,228,1007,494,-96,-12,0
-112,8,129,122,295780,534380,310857,28749,52531.35729409952,316248.1609497451,10,90,163,2601,444,-111,-13,1
-122,8,118,116,286020,386420,313703,19184,40093.0407079942,326164.24898271664,90,90,126,2018,412,-114,-15,1
-115,8,121,115,628173,709334,332862,22463,45419.02134704836,378729.55547508044,80,100,132,2107,393,-119,-16,1
-120,7,106,97,672066,645024,43800,3973,5789.993700540902,33680.946923199575,10,10,143,2150,414,-114,-15,1
-128,6,85,85,289160,129160,77155,6449,7901.771311406397,76975.8004608994,30,30,164,1690,448,-110,-13,1
-115,8,120,113,377520,497820,65429,5128,5955.98300191264,52103.04872577037,15,15,213,1834,483,-96,-12,0
-106,8,118,113,286020,471380,109634,7752,12294.358912789712,98864.14294870655,15,30,130,2844,418,-114,-15,1

-117,9,128,119,501060,394460,443395,32696,48805.12057188032,402830.49887194467,10,100,212,1823,498,-95,-12,0
-111,12,172,164,133260,174960,134432,9278,20168.841796603476,139971.16253245933,15,25,239,853,488,-96,-12,0
-98,12,167,164,643585,190460,551714,43685,83408.89305315101,549377.6157905384,20,100,336,796,527,-83,-10,3
-95,15,194,190,628173,190460,609016,31076,67383.71296281915,635441.922031872,50,100,332,98,542,-83,-10,3
-105,7,106,97,354880,173280,298633,20581,27272.613254619155,266848.5762394336,5,80,243,2258,505,-93,-11,0
-99,11,174,167,516580,173040,340066,17373,47816.88369207713,403182.8006530619,70,80,347,268,514,-83,-10,3
-106,10,156,143,340720,709334,288827,15057,35188.12634679383,325236.1365585616,10,70,239,1607,505,-95,-11,0
-99,10,158,155,643585,723684,112376,10567,12729.183898294765,109969.93714073519,70,25,346,798,506,-83,-11,3
-100,11,158,153,140320,709334,27917,2596,2981.138301072144,24969.580734194235,40,5,318,935,520,-84,-10,3
-113,11,156,151,643585,533120,412421,40304,45013.492845702625,400809.0676101763,60,80,239,2119,509,-94,-11,0
-115,7,103,95,501060,651793,223501,12568,30036.872158529775,223048.16865103517,100,80,232,1801,487,-96,-12,0
-119,8,129,118,519810,386420,351182,28191,45099.845080488194,317663.01173806057,60,80,240,2716,503,-96,-12,0
-105,10,169,160,140320,368460,129790,11228,15308.755389158108,116956.2471943262,40,25,264,833,497,-96,-11,0
-92,13,180,169,462740,368460,440531,33070,47463.84402463344,427666.04738394276,20,80,349,466,533,-83,-10,3
-92,11,173,161,496980,368460,40055,2214,5551.327971875698,51094.447527729535,70,10,334,688,532,-83,-10,3
-90,11,163,156,340720,382580,27357,1737,2896.2747058048253,26178.53201359518,60,5,314,261,500,-85,-11,3
-101,13,177,163,622138,368460,133519,9854,17266.62100484336,138034.93585416896,30,25,320,863,519,-83,-10,3
-89,12,161,152,496980,368460,71411,4131,8935.274944944604,74893.35230776413,50,15,350,1682,527,-82,-10,3

-123,14,196,179,354880,709334,421766,35930,57768.51916672165,484141.6098997316,30,80,354,816,530,-83,-10,2
-115,8,113,104,501060,368460,419814,41702,47403.066210335506,355042.4324978262,15,100,245,1611,482,-97,-12,0
-109,12,165,150,519810,394460,225867,22094,40613.876755860365,249735.87984058808,15,50,354,757,506,-86,-11,2
-115,12,148,135,522360,522318,113706,5711,11315.474263345208,113040.17945199934,90,20,294,746,508,-84,-11,2
-114,12,171,155,628173,285520,379635,20952,60804.71016233547,446790.028129225,70,80,341,196,517,-83,-10,2
-110,12,178,163,370460,382580,138283,7833,16076.031292776048,134278.0341119304,20,25,300,1351,499,-85,-11,2
-106,13,198,188,522954,386420,28728,1632,4282.271402968795,29986.129009083823,90,5,244,606,501,-95,-11,0
-111,15,235,229,347440,402480,451572,38589,72766.23134488295,501039.45574939804,20,80,318,364,532,-82,-10,2
-123,10,171,163,672066,190460,177596,14865,20726.556374106316,174335.12092482595,50,40,231,2668,482,-96,-12,0
-125,12,190,175,377520,672541,74238,7245,10190.414360088602,83919.95490478375,90,15,249,3407,508,-95,-11,0
-119,7,108,98,295780,386420,12809,836,2457.2617102350637,14652.225559510294,20,5,242,1441,499,-96,-11,0
-119,9,136,129,404920,651793,116724,8978,19115.918001915816,128721.88631072079,15,30,238,1819,494,-95,-11,0
-119,11,158,150,133260,386420,105502,8778,12653.08688993285,97453.30251891598,15,20,303,528,522,-83,-10,2
-124,8,119,118,373420,645024,338409,27785,42209.77431341281,335765.3209915188,100,90,348,870,517,-83,-10,2
-130,12,179,173,347440,173280,235236,15230,30476.26087784947,223899.45483209222,80,40,258,1425,516,-94,-11,0
-124,8,115,109,140320,645024,157874,9952,22818.51697970486,183186.3089382084,25,60,208,1295,490,-95,-12,0
-117,9,137,126,713798,402480,99722,7813,14461.604471008997,110022.64811006784,60,25,349,261,542,-82,-9,2
-117,11,152,146,354880,173040,86575,6878,8807.75088322102,78811.44255443235,40,15,328,789,525,-84,-10,2

-107,15,251,247,536832,394460,560046,55051,66937.38679525595,589106.1107027079,70,80,325,223,533,-83,-10,2
-108,12,191,187,387540,434440,89708,6889,12194.478140350271,85669.30487902128,80,15,349,1182,541,-82,-10,2
-111,11,166,156,373420,520160,448553,24517,42861.9353279943,400696.4498625003,30,90,316,361,520,-85,-10,2
-114,13,188,182,347440,651793,52195,3449,8883.222911946368,56656.623861027205,100,10,324,1047,525,-83,-10,2
-112,12,185,179,133260,434440,139485,7778,15708.665628370933,152283.53857207642,50,30,326,1220,516,-84,-10,2
-107,13,168,166,144360,402480,397987,25397,49149.86644447513,394523.22307951906,40,70,314,1718,540,-82,-10,2
-127,18,268,257,522360,709334,82199,6266,11502.0590763133,88703.1577620432,5,10,346,1499,509,-83,-10,2
-120,10,156,154,144360,290260,85344,4726,9566.762834649087,89475.86867017213,15,20,255,2001,522,-95,-10,0
-124,12,164,154,386080,149000,542801,34594,65243.43428687298,553980.4693042554,90,100,254,1730,479,-97,-12,0
-135,7,106,97,347440,723684,27085,1461,3609.5265163601466,29181.14275045663,15,10,253,3116,481,-98,-12,0
-132,14,213,193,164380,173040,248806,15113,30363.178576797472,251948.28046179612,20,40,255,1978,498,-95,-11,0
-130,10,155,151,653444,651793,89515,8048,12046.241085824615,89512.61666833251,30,20,245,1893,491,-96,-11,0
-119,12,179,178,377520,386420,597999,58839,70213.72456388993,491579.81574795966,70,90,349,754,533,-80,-10,2
-127,17,274,262,496980,129160,472302,40251,55832.49456449247,400420.35378420784,60,50,312,911,513,-84,-11,2
-122,11,156,150,370460,723684,147318,9029,15591.319095297797,130562.32635708181,30,25,325,672,534,-82,-10,2
-119,11,165,159,347440,672541,482798,45371,61656.078322133755,464510.434842841,40,100,331,1249,529,-83,-10,2
-131,11,159,156,707032,190460,26600,1870,4199.636894908817,25125.56982150781,50,5,313,667,516,-84,-11,2
-132,11,157,148,144360,709334,86513,8395,12639.746119208447,97503.45340903214,50,20,344,413,532,-82,-10,2

